date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:37:04	1862/1862	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Jan%202024%2015:37:07%20GMT	https://www.serefconcept.com/robots.txt		(from )
07:37:08	44417/44417	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2015:37:07%20GMT	https://www.serefconcept.com/en/	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/en/index.html	(from )
07:37:09	955/955	---M-Z	200	added ('OK')	text/css	etag:%223bb-6241978d-fa2be1e838ecc472;gz%22	https://www.serefconcept.com/theme/css/plugins.css	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/theme/css/plugins.css	(from https://www.serefconcept.com/en/)
07:37:10	12795/12795	---M-Z	200	added ('OK')	text/css	etag:W/%2231fb-G+m3m+AqHPxdlsSl4P649HK6vZU%22	https://cdn.jsdelivr.net/gh/fancyapps/fancybox@3.5.7/dist/jquery.fancybox.min.css	C:/Users/hp/Desktop/iiiioopp/cdn.jsdelivr.net/gh/fancyapps/fancybox@3.5.7/dist/jquery.fancybox.min.css	(from https://www.serefconcept.com/en/)
07:37:11	97604/97604	---M-Z	200	added ('OK')	text/css	etag:%2217d44-626a382c-7e9da1f15b0e324b;gz%22	https://www.serefconcept.com/theme/css/style.css?v=1	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/theme/css/style3860.css	(from https://www.serefconcept.com/en/)
07:37:12	1077/1077	---M-Z	200	added ('OK')	text/css	etag:%22435-6241978d-dcdf0240b02862f6;gz%22	https://www.serefconcept.com/theme/css/custom.css?v=2.6	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/theme/css/customa9f2.css	(from https://www.serefconcept.com/en/)
07:37:13	11890/11890	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2009%20Jan%202024%2015:37:15%20GMT	https://kit.fontawesome.com/f15502a948.js	C:/Users/hp/Desktop/iiiioopp/kit.fontawesome.com/f15502a948.js	(from https://www.serefconcept.com/en/)
07:37:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2009%20Jan%202024%2015:37:17%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/hp/Desktop/iiiioopp/www.googletagmanager.com/gtm.55445.delayed	(from https://www.serefconcept.com/en/)
07:37:16	207052/207052	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2009%20Jan%202024%2015:37:17%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/hp/Desktop/iiiioopp/connect.facebook.net/en_US/fbevents.js	(from https://www.serefconcept.com/en/)
07:37:16	35875/35875	---M--	200	added ('OK')	image/png	etag:%228c23-62419820-46c2e507473ea753;;;%22	https://www.serefconcept.com/img/company/icon/icon_logo-b.png	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/img/company/icon/icon_logo-b.png	(from https://www.serefconcept.com/en/)
07:37:17	8157/8157	---M--	200	added ('OK')	image/png	etag:%221fdd-62419821-56aa7f6812d990f6;;;%22	https://www.serefconcept.com/img/company/logo/seref.png	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/img/company/logo/seref.png	(from https://www.serefconcept.com/en/)
07:37:17	34708/34708	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2015:37:20%20GMT	https://www.serefconcept.com/en/page/Corporate	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/en/page/Corporate.html	(from https://www.serefconcept.com/en/)
07:37:18	23368/23368	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2015:37:20%20GMT	https://www.serefconcept.com/en/page/vision	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/en/page/vision.html	(from https://www.serefconcept.com/en/)
07:37:18	23412/23412	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2015:37:21%20GMT	https://www.serefconcept.com/en/page/human-resources	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/en/page/human-resources.html	(from https://www.serefconcept.com/en/)
07:37:19	23901/23901	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2015:37:21%20GMT	https://www.serefconcept.com/en/page/design	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/en/page/design.html	(from https://www.serefconcept.com/en/)
07:37:19	38705/38705	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2015:37:21%20GMT	https://www.serefconcept.com/en/category/classic-sofa-set	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/en/category/classic-sofa-set.html	(from https://www.serefconcept.com/en/)
07:37:20	37648/37648	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2015:37:22%20GMT	https://www.serefconcept.com/en/category/classic-dining-room	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/en/category/classic-dining-room.html	(from https://www.serefconcept.com/en/)
07:37:20	26776/26776	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2015:37:22%20GMT	https://www.serefconcept.com/en/category/classic-bedroom	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/en/category/classic-bedroom.html	(from https://www.serefconcept.com/en/)
07:37:20	30484/30484	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2015:37:23%20GMT	https://www.serefconcept.com/en/category/classic-tv-unit	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/en/category/classic-tv-unit.html	(from https://www.serefconcept.com/en/)
07:37:21	31483/31483	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2015:37:23%20GMT	https://www.serefconcept.com/en/category/classic-console	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/en/category/classic-console.html	(from https://www.serefconcept.com/en/)
07:37:21	33784/33784	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2015:37:24%20GMT	https://www.serefconcept.com/en/category/classic-table--accessories	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/en/category/classic-table--accessories.html	(from https://www.serefconcept.com/en/)
07:37:21	22004/22004	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2015:37:24%20GMT	https://www.serefconcept.com/en/category/classic-office-furniture	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/en/category/classic-office-furniture.html	(from https://www.serefconcept.com/en/)
07:37:22	31125/31125	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2015:37:24%20GMT	https://www.serefconcept.com/en/collections	C:/Users/hp/Desktop/iiiioopp/www.serefconcept.com/en/collections.html	(from https://www.serefconcept.com/en/)
